symbol,horizon,weighted_score,technical_score,fundamental_score,news_sentiment,data_quality,price_source,recommendation,reasons,news_headlines,trend,current_price,entry_zone,stop_loss,take_profit_1,take_profit_2,tp1_pct,tp2_pct,risk_reward,position_size,rebalance,rsi
GHNI,very_long_term,79.2,100,74,0,LIVE,yfinance(GHNI.KA),ACCUMULATE,ROE 45.6% (excellent) | D/E 0 (low leverage) | P/E 5.4 (deep value),,Bullish,PKR 880.74,PKR 779.96 - 845.51,PKR 704.59 (-20.0%),"PKR 1,144.96 (+30.0%)","PKR 1,585.33 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,63.9
FFC,long_term,79.0,90,75,-3,LIVE,yfinance(FFC.KA),ACCUMULATE,ROE 34.1% (excellent) | D/E 32 (low leverage) | P/E 10.1 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",Bullish,PKR 552.30,PKR 527.56 - 546.78,PKR 486.02 (-12.0%),PKR 662.76 (+20.0%),PKR 773.22 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,64.3
HBL,swing,79.0,90,50,1,LIVE,yfinance(HBL.KA),BUY,ROE 15.1% (good) | P/E 6.7 (deep value) | Div yield 7.0% (solid),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 287.68,PKR 284.80 - 290.56,PKR 274.04 (-4.7%),PKR 299.05 (+4.0%),PKR 306.63 (+6.6%),+4.0%,+6.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,52.6
SAZEW,long_term,78.4,85,74,0,LIVE,yfinance(SAZEW.KA),ACCUMULATE,ROE 64.9% (excellent) | D/E 4 (low leverage) | P/E 7.2 (deep value),,Bullish,"PKR 2,177.47","PKR 2,112.15 - 2,155.70","PKR 1,916.17 (-12.0%)","PKR 2,612.96 (+20.0%)","PKR 3,048.46 (+40.0%)",+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,55.2
TGL,swing,78.1,85,62,0,LIVE,yfinance(TGL.KA),BUY,ROE 18.2% (good) | D/E 4 (low leverage) | P/E 7.2 (deep value),,Bearish,PKR 177.26,PKR 175.49 - 179.03,PKR 164.82 (-7.0%),PKR 187.62 (+5.8%),PKR 194.53 (+9.7%),+5.8%,+9.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,63.3
THALL,swing,78.1,85,62,0,LIVE,yfinance(THALL.KA),BUY,ROE 17.2% (good) | D/E 6 (low leverage) | P/E 5.5 (deep value),,Bullish,PKR 622.05,PKR 615.83 - 628.27,PKR 575.75 (-7.4%),PKR 660.63 (+6.2%),PKR 686.35 (+10.3%),+6.2%,+10.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,50.9
POWER,swing,78.0,90,50,0,LIVE,yfinance(POWER.KA),BUY,ROE 12.7% (fair) | D/E 35 (low leverage) | P/E 9.0 (value),"Top EU diplomat says Pakistan a major regional power, ‘important partner’ | Seven years on, Bajaur solar power  project still incomplete | 'No sufficient outcome' yet of talks to secure discounts from Chinese power producers: Leghari",Bullish,PKR 20.46,PKR 20.26 - 20.66,PKR 19.09 (-6.7%),PKR 21.60 (+5.6%),PKR 22.36 (+9.3%),+5.6%,+9.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.2
LOTCHEM,swing,77.7,90,49,0,LIVE,yfinance(LOTCHEM.KA),BUY,ROE 9.5% (weak) | D/E 23 (low leverage) | P/E 22.4 (slightly rich),,Bullish,PKR 28.41,PKR 28.13 - 28.69,PKR 26.61 (-6.3%),PKR 29.91 (+5.3%),PKR 30.91 (+8.8%),+5.3%,+8.8%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,60.3
JDWS,long_term,76.6,85,71,0,LIVE,yfinance(JDWS.KA),ACCUMULATE,ROE 28.3% (excellent) | D/E 46 (low leverage) | P/E 6.7 (deep value),,Bullish,PKR 921.08,PKR 893.45 - 911.87,PKR 810.55 (-12.0%),"PKR 1,105.30 (+20.0%)","PKR 1,289.51 (+40.0%)",+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,66.4
SAZEW,very_long_term,76.2,85,74,0,LIVE,yfinance(SAZEW.KA),ACCUMULATE,ROE 64.9% (excellent) | D/E 4 (low leverage) | P/E 7.2 (deep value),,Bullish,"PKR 2,177.47","PKR 1,998.57 - 2,090.37","PKR 1,741.98 (-20.0%)","PKR 2,830.71 (+30.0%)","PKR 3,919.45 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,55.2
FFC,very_long_term,76.0,90,75,-3,LIVE,yfinance(FFC.KA),ACCUMULATE,ROE 34.1% (excellent) | D/E 32 (low leverage) | P/E 10.1 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",Bullish,PKR 552.30,PKR 508.12 - 530.21,PKR 441.84 (-20.0%),PKR 717.99 (+30.0%),PKR 994.14 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,64.3
TRG,swing,76.0,85,55,0,LIVE,yfinance(TRG.KA),BUY,ROE -13.7% (weak) | D/E 21 (low leverage) | P/E 1.0 (deep value),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | TRG confirms Chishti-linked share transfer TRG Pakistan Limited (TRGP) has formally confirmed that the massive block of shares recently acquired by JS | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bullish,PKR 74.06,PKR 73.32 - 74.80,PKR 67.80 (-8.5%),PKR 79.28 (+7.0%),PKR 82.76 (+11.7%),+7.0%,+11.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,74.1
ATLH,very_long_term,75.8,75,76,0,LIVE,yfinance(ATLH.KA),ACCUMULATE,ROE 51.0% (excellent) | D/E 6 (low leverage) | P/E 10.5 (value),,Bullish,"PKR 1,794.76","PKR 1,651.18 - 1,722.97","PKR 1,435.81 (-20.0%)","PKR 2,333.19 (+30.0%)","PKR 3,230.57 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,67.3
ATLH,long_term,75.6,75,76,0,LIVE,yfinance(ATLH.KA),ACCUMULATE,ROE 51.0% (excellent) | D/E 6 (low leverage) | P/E 10.5 (value),,Bullish,"PKR 1,794.76","PKR 1,740.92 - 1,776.81","PKR 1,579.39 (-12.0%)","PKR 2,153.71 (+20.0%)","PKR 2,512.66 (+40.0%)",+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,67.3
FCCL,long_term,75.6,90,66,0,LIVE,yfinance(FCCL.KA),ACCUMULATE,ROE 17.1% (good) | D/E 41 (low leverage) | P/E 9.8 (value),,Bullish,PKR 52.90,PKR 50.75 - 52.37,PKR 46.55 (-12.0%),PKR 63.48 (+20.0%),PKR 74.06 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,57.6
ATLH,swing,75.3,75,76,0,LIVE,yfinance(ATLH.KA),BUY,ROE 51.0% (excellent) | D/E 6 (low leverage) | P/E 10.5 (value),,Bullish,"PKR 1,794.76","PKR 1,776.81 - 1,812.71","PKR 1,747.17 (-2.7%)","PKR 1,834.42 (+2.2%)","PKR 1,860.86 (+3.7%)",+2.2%,+3.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,67.3
AIRLINK,swing,75.2,80,64,0,LIVE,yfinance(AIRLINK.KA),BUY,ROE 32.9% (excellent) | D/E 4 (low leverage) | P/E 16.2 (fair),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bearish,PKR 154.88,PKR 153.33 - 156.43,PKR 146.51 (-5.4%),PKR 161.85 (+4.5%),PKR 166.50 (+7.5%),+4.5%,+7.5%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,62.9
HCAR,swing,75.1,85,52,0,LIVE,yfinance(HCAR.KA),BUY,ROE 13.2% (fair) | D/E 9 (low leverage) | P/E 11.7 (value),,Bullish,PKR 265.21,PKR 262.56 - 267.86,PKR 243.72 (-8.1%),PKR 283.12 (+6.8%),PKR 295.06 (+11.3%),+6.8%,+11.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,74.4
ABL,swing,74.9,85,48,1,LIVE,yfinance(ABL.KA),BUY,ROE 14.7% (fair) | P/E 5.9 (deep value) | Div yield 8.9% (high income),"Meta plans AI pendant, 'wearables for work' in hardware boost: report | SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 180.11,PKR 178.31 - 181.91,PKR 174.48 (-3.1%),PKR 184.81 (+2.6%),PKR 187.94 (+4.3%),+2.6%,+4.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,53.1
HINOON,very_long_term,74.0,70,75,0,LIVE,yfinance(HINOON.KA),ACCUMULATE,ROE 29.1% (excellent) | D/E 7 (low leverage) | P/E 12.3 (fair),,BEARISH,PKR 965.50,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
JDWS,very_long_term,73.8,85,71,0,LIVE,yfinance(JDWS.KA),ACCUMULATE,ROE 28.3% (excellent) | D/E 46 (low leverage) | P/E 6.7 (deep value),,Bullish,PKR 921.08,PKR 847.39 - 884.24,PKR 736.86 (-20.0%),"PKR 1,197.40 (+30.0%)","PKR 1,657.94 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,66.4
PABC,swing,73.8,75,71,0,LIVE,yfinance(PABC.KA),BUY,ROE 25.8% (excellent) | D/E 10 (low leverage) | P/E 7.3 (deep value),,Bearish,PKR 107.28,PKR 106.21 - 108.35,PKR 98.71 (-8.0%),PKR 114.42 (+6.7%),PKR 119.18 (+11.1%),+6.7%,+11.1%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,53.5
AKBL,swing,73.6,85,47,0,LIVE,yfinance(AKBL.KA),BUY,ROE 17.0% (good) | P/E 6.5 (deep value) | Div yield 5.0% (solid),,Bullish,PKR 99.77,PKR 98.77 - 100.77,PKR 94.21 (-5.6%),PKR 104.41 (+4.7%),PKR 107.49 (+7.7%),+4.7%,+7.7%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,65.5
MUREB,swing,73.5,75,70,0,LIVE,yfinance(MUREB.KA),BUY,ROE 19.5% (good) | D/E 6 (low leverage) | P/E 7.4 (deep value),,Bearish,PKR 933.00,PKR 923.67 - 942.33,PKR 878.82 (-5.8%),PKR 978.15 (+4.8%),"PKR 1,008.25 (+8.1%)",+4.8%,+8.1%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,55.4
MARI,very_long_term,73.2,70,74,0,LIVE,yfinance(MARI.KA),ACCUMULATE,ROE 25.4% (excellent) | D/E 36 (low leverage) | P/E 11.7 (value),,BEARISH,PKR 658.11,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
SYS,very_long_term,73.2,70,74,0,LIVE,yfinance(SYS.KA),ACCUMULATE,ROE 22.4% (excellent) | D/E 1 (low leverage) | P/E 1.0 (deep value),"Supernet plans right issue of up to Rs914.8m The Board of Directors of Supernet Technologies Limited (PSX: STL) has approved, in principle, the compan | ITANZ secures strategic tech MoUs during PM's China visit iTANZ Technologies Limited (PSX:ITANZ)  signed Memorandums of Understanding (MoUs) with thre",Bullish,PKR 147.73,PKR 135.91 - 141.82,PKR 118.18 (-20.0%),PKR 192.05 (+30.0%),PKR 265.91 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,46.2
GLAXO,very_long_term,73.0,65,75,0,LIVE,yfinance(GLAXO.KA),ACCUMULATE,ROE 31.5% (excellent) | D/E 5 (low leverage) | P/E 10.5 (value),,BEARISH,PKR 346.29,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
HINOON,long_term,73.0,70,75,0,LIVE,yfinance(HINOON.KA),ACCUMULATE,ROE 29.1% (excellent) | D/E 7 (low leverage) | P/E 12.3 (fair),,BEARISH,PKR 965.50,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
PAKT,very_long_term,73.0,45,80,0,LIVE,yfinance(PAKT.KA),ACCUMULATE,ROE 66.3% (excellent) | D/E 11 (low leverage) | P/E 10.4 (value),,BEARISH,"PKR 1,342.74",WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
AHCL,very_long_term,73.0,65,75,0,LIVE,yfinance(AHCL.KA),ACCUMULATE,ROE 23.6% (excellent) | D/E 12 (low leverage) | P/E 1.0 (deep value),,BEARISH,PKR 14.37,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
COLG,swing,72.9,75,68,0,LIVE,yfinance(COLG.KA),BUY,ROE 51.3% (excellent) | D/E 5 (low leverage) | P/E 15.7 (fair),,Bearish,"PKR 1,148.37","PKR 1,136.89 - 1,159.85","PKR 1,096.91 (-4.5%)","PKR 1,191.25 (+3.7%)","PKR 1,219.84 (+6.2%)",+3.7%,+6.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,64.7
PABC,long_term,72.6,75,71,0,LIVE,yfinance(PABC.KA),ACCUMULATE,ROE 25.8% (excellent) | D/E 10 (low leverage) | P/E 7.3 (deep value),,BEARISH,PKR 107.28,WAIT -- price below SMA-200,N/A,N/A,N/A,N/A,N/A,N/A,0% -- avoid,N/A,
SCBPL,swing,72.6,75,67,0,LIVE,yfinance(SCBPL.KA),BUY,ROE 25.4% (excellent) | P/E 10.3 (value) | Div yield 10.1% (high income),,Bearish,PKR 64.40,PKR 63.76 - 65.04,PKR 60.03 (-6.8%),PKR 68.05 (+5.7%),PKR 70.48 (+9.4%),+5.7%,+9.4%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,63.1
